epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,137.826,0.89534,1.31963,1.16048,0.87284,0.88889,0.89286,0.63912,0.89689,1.59249,1.49906,0.0011882,0.0011882,0.0011882
43,140.246,0.74121,1.12713,1.08986,0.99068,0.83333,0.91887,0.66802,1.13771,1.45625,1.92942,0.0011684,0.0011684,0.0011684
44,142.985,0.79696,1.06917,1.09634,0.99026,0.77778,0.89162,0.63593,1.59782,1.67359,2.54521,0.0011486,0.0011486,0.0011486
45,145.881,0.79258,1.14328,1.05397,0.99026,0.77778,0.89162,0.63593,1.59782,1.67359,2.54521,0.0011288,0.0011288,0.0011288
46,148.574,0.77203,1.15213,1.08792,0.84017,0.87661,0.83297,0.5486,1.45197,1.43765,2.0839,0.001109,0.001109,0.001109
47,151.127,0.73789,1.11306,1.04132,0.92986,0.83333,0.88838,0.52587,1.56393,1.38876,2.14286,0.0010892,0.0010892,0.0010892
48,153.488,0.83867,1.12701,1.09497,0.92986,0.83333,0.88838,0.52587,1.56393,1.38876,2.14286,0.0010694,0.0010694,0.0010694
49,155.828,0.85739,1.25582,1.18107,0.99341,0.88889,0.90169,0.52927,1.71919,1.61789,2.20094,0.0010496,0.0010496,0.0010496
50,158.567,0.79341,1.14135,1.06963,0.99341,0.88889,0.90169,0.52927,1.71919,1.61789,2.20094,0.0010298,0.0010298,0.0010298
51,161.627,0.6795,1.08712,1.01475,0.99281,0.88889,0.91111,0.49569,1.69731,1.52604,2.13051,0.00101,0.00101,0.00101
52,164.487,0.75075,1.13766,1.11004,0.98086,0.88889,0.94247,0.56035,1.18897,1.42859,1.69407,0.0009902,0.0009902,0.0009902
53,167.044,0.63751,1.05341,1.03398,0.98086,0.88889,0.94247,0.56035,1.18897,1.42859,1.69407,0.0009704,0.0009704,0.0009704
54,169.896,0.73508,0.98121,1.06024,1,0.82274,0.9263,0.64182,1.07185,1.45153,1.84611,0.0009506,0.0009506,0.0009506
55,174.351,0.83368,1.05408,1.25339,0.91997,0.83333,0.89324,0.64522,1.25717,1.57285,2.20934,0.0009308,0.0009308,0.0009308
56,180.675,0.72004,0.96176,1.0233,0.91997,0.83333,0.89324,0.64522,1.25717,1.57285,2.20934,0.000911,0.000911,0.000911
57,186.102,0.71375,1.00563,1.06057,0.93501,0.80013,0.90129,0.61409,1.38644,1.67813,2.28381,0.0008912,0.0008912,0.0008912
58,191.907,0.73156,1.09828,1.11065,0.93501,0.80013,0.90129,0.61409,1.38644,1.67813,2.28381,0.0008714,0.0008714,0.0008714
59,197.683,0.58089,0.88718,0.96295,0.97693,0.77778,0.91093,0.62277,1.30473,1.48747,2.14206,0.0008516,0.0008516,0.0008516
60,202.584,0.72249,0.98361,1.12926,0.97763,0.88889,0.92987,0.68852,1.16593,1.32301,2.03447,0.0008318,0.0008318,0.0008318
61,206.601,0.69042,1.04692,1.11852,0.97763,0.88889,0.92987,0.68852,1.16593,1.32301,2.03447,0.000812,0.000812,0.000812
62,213.963,0.57834,1.0558,1.02321,0.92716,0.88889,0.95125,0.66021,1.16727,1.66392,1.94778,0.0007922,0.0007922,0.0007922
63,219.1,0.68654,1.05036,1.04943,0.9203,0.88889,0.96064,0.65026,1.16204,1.76401,1.87818,0.0007724,0.0007724,0.0007724
64,222.254,0.74308,1.16058,1.08852,0.9203,0.88889,0.96064,0.65026,1.16204,1.76401,1.87818,0.0007526,0.0007526,0.0007526
65,226.934,0.60693,0.88947,0.9651,0.90279,0.88889,0.95824,0.66516,1.1637,1.61327,1.85142,0.0007328,0.0007328,0.0007328
66,232.19,0.65015,0.93901,0.95565,0.90279,0.88889,0.95824,0.66516,1.1637,1.61327,1.85142,0.000713,0.000713,0.000713
67,236.655,0.64005,0.9003,0.95448,0.89844,0.98357,0.984,0.71178,1.10813,1.30367,1.81775,0.0006932,0.0006932,0.0006932
68,241.3,0.59114,0.88403,0.95693,0.91373,1,0.98921,0.69134,1.03918,1.09236,1.62715,0.0006734,0.0006734,0.0006734
69,245.703,0.65695,0.95867,1.07367,0.91373,1,0.98921,0.69134,1.03918,1.09236,1.62715,0.0006536,0.0006536,0.0006536
70,248.894,0.59663,0.89186,1.01393,1,0.9385,0.99,0.69477,1.08288,0.98517,1.60593,0.0006338,0.0006338,0.0006338
71,251.803,0.58674,0.82805,0.96842,0.99906,0.94444,0.99,0.67658,1.26792,0.97973,1.85009,0.000614,0.000614,0.000614
72,254.531,0.62818,1.09426,0.99621,0.99906,0.94444,0.99,0.67658,1.26792,0.97973,1.85009,0.0005942,0.0005942,0.0005942
73,257.698,0.65296,0.80869,0.92617,1,0.94172,0.98786,0.64185,1.42517,0.98418,2.1593,0.0005744,0.0005744,0.0005744
74,260.461,0.6024,0.88374,1.01127,1,0.94172,0.98786,0.64185,1.42517,0.98418,2.1593,0.0005546,0.0005546,0.0005546
75,263.051,0.63084,0.84533,0.95458,1,0.94392,0.98591,0.64607,1.46374,0.97637,2.25262,0.0005348,0.0005348,0.0005348
76,265.572,0.66286,0.85001,0.96632,0.99565,0.94444,0.94541,0.65618,1.30145,0.90632,2.07262,0.000515,0.000515,0.000515
77,267.937,0.60929,0.93854,0.99891,0.99565,0.94444,0.94541,0.65618,1.30145,0.90632,2.07262,0.0004952,0.0004952,0.0004952
78,271.233,0.62862,0.80946,0.99323,0.99384,1,0.995,0.68099,1.20481,0.88299,1.9802,0.0004754,0.0004754,0.0004754
79,275.285,0.65162,0.95727,1.0471,0.9922,0.94444,0.99237,0.69834,1.15608,0.88679,1.93274,0.0004556,0.0004556,0.0004556
80,278.588,0.60152,0.85326,1.03804,0.9922,0.94444,0.99237,0.69834,1.15608,0.88679,1.93274,0.0004358,0.0004358,0.0004358
81,281.771,0.63809,0.86611,1.0622,0.99355,0.94444,0.99237,0.70532,1.14282,0.8707,1.8497,0.000416,0.000416,0.000416
82,285.135,0.53791,0.78455,0.95192,0.99355,0.94444,0.99237,0.70532,1.14282,0.8707,1.8497,0.0003962,0.0003962,0.0003962
83,288.123,0.57024,0.82572,0.96411,0.99584,0.94444,0.99237,0.71941,1.16107,0.90618,1.82083,0.0003764,0.0003764,0.0003764
84,291.154,0.53846,0.8986,0.95104,0.99964,1,0.995,0.73826,1.1418,0.9096,1.81269,0.0003566,0.0003566,0.0003566
85,294.499,0.53691,0.82062,0.97703,0.99964,1,0.995,0.73826,1.1418,0.9096,1.81269,0.0003368,0.0003368,0.0003368
86,299.851,0.53142,0.81491,0.95475,0.99011,1,0.995,0.71955,1.15173,0.92573,1.86322,0.000317,0.000317,0.000317
87,304.822,0.4645,0.74604,0.90399,0.99257,1,0.995,0.72432,1.13392,0.93605,1.86095,0.0002972,0.0002972,0.0002972
88,308.956,0.54715,0.80176,0.98531,0.99257,1,0.995,0.72432,1.13392,0.93605,1.86095,0.0002774,0.0002774,0.0002774
89,313.009,0.53751,0.75753,0.97593,0.99583,1,0.995,0.7228,1.12816,0.96074,1.86578,0.0002576,0.0002576,0.0002576
90,315.811,0.50186,0.76662,0.96681,0.99583,1,0.995,0.7228,1.12816,0.96074,1.86578,0.0002378,0.0002378,0.0002378
91,329.461,0.48552,1.17248,0.95162,1,0.98897,0.995,0.71729,1.10478,0.94491,1.83689,0.000218,0.000218,0.000218
92,334.944,0.49943,1.02516,0.892,0.94324,1,0.99237,0.72762,1.08489,0.8994,1.78839,0.0001982,0.0001982,0.0001982
93,340.632,0.4321,1.06648,0.90162,0.94324,1,0.99237,0.72762,1.08489,0.8994,1.78839,0.0001784,0.0001784,0.0001784
94,347.089,0.49117,1.0633,0.93817,0.94398,1,0.99237,0.72653,1.0615,0.822,1.73114,0.0001586,0.0001586,0.0001586
95,353.086,0.59048,1.19,1.06136,0.94443,1,0.99237,0.72567,1.02953,0.76745,1.66759,0.0001388,0.0001388,0.0001388
96,356.856,0.51221,0.96393,0.93118,0.94443,1,0.99237,0.72567,1.02953,0.76745,1.66759,0.000119,0.000119,0.000119
97,360.429,0.49153,1.05809,0.95591,0.94653,1,0.99237,0.7376,1.00671,0.76412,1.61468,9.92e-05,9.92e-05,9.92e-05
98,362.841,0.59183,1.17389,1.05384,0.94653,1,0.99237,0.7376,1.00671,0.76412,1.61468,7.94e-05,7.94e-05,7.94e-05
99,365.745,0.46461,0.96877,0.90771,0.94584,1,0.99237,0.72937,0.99816,0.76994,1.60005,5.96e-05,5.96e-05,5.96e-05
100,369.578,0.48004,0.98425,0.89055,0.94272,1,0.98921,0.71862,1.00596,0.7942,1.60048,3.98e-05,3.98e-05,3.98e-05
